id,colaborador_profile_id,ciclo,status,clareza_apresentacao,conforto_avaliacao_pares,conforto_autoavaliacao,tempo_suficiente,clareza_lideranca,representatividade_feedback,surpresa_devolutiva,conforto_devolutiva,efetividade_programa,clareza_proximos_passos,falta_apresentacao_captura,falta_devolutivas,falta_perguntas_gerais,data_envio,created_at,updated_at
0a7cf470-91a3-473e-8b71-f22df9103740,,2º ciclo 2023,Em aberto,,,,,,,,,,,,,,2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
e210f967-c34b-498e-8d9b-e03de2a1392a,,2º ciclo 2023,Finalizado,,,5,Foi suficiente ,4,5,,5,3,,Senti falta da lideranca técnica que é quem dá o feedback aqui na cubos ter contato com a lideranca técnica da empresa parceira a respeito funcionario,Feedback foi bem claro.,Nada,2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
ca7e5554-bceb-4d7b-84d2-871d359030fd,,2º ciclo 2023,Finalizado,,,4,Foi suficiente ,5,4,,4,3,,Não consigo opinar,Não consigo opinar,Senti falta da visão de dentro do projeto.,2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
1fb72332-44a8-4236-96c2-ef9b827cef31,,2º ciclo 2023,Finalizado,,,5,"Foi mais que suficiente, muito longo",5,5,,5,5,,"Nada, acredito que esteja tudo claro!",Acredito que nada. Eu me senti bem recebendo o feedback e que fazia sentido para o momento.,Nada!,2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
3434b14f-720c-4d06-8d2b-f4ed00318102,,2º ciclo 2023,Finalizado,,,4,Foi suficiente ,2,4,,4,2,,"Acho que precisar elaborar ainda mais essa questao de abaixo, dentro e acima da expectativa e de que forma isso influencia uma promoção","Acho que falta linkar ainda mais oq ue é necessario para aquela pessoa continuar progredindo, oq falta para ela passar de nivel por exemplo. sao essas informações que gostariamos de saber","quais dificildades eu tive no meu ciclo, tanto internas quanto externas",2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
e1df1cec-0119-4ca3-b278-5fafc02a16ea,,2º ciclo 2023,Finalizado,,,4,Foi suficiente ,4,4,,5,4,,"Creio que a apresentação e captura ficou claro. Na verdade, acredito que seria ideal dividir o eNPS da Avaliação de Desempenho por cada etapa. Pois, como a fase apresentação e captura foi a realziado a um tempo, não me lembro de muita coisa","Acredito que as devolutivas demorou um pouco, mas entendo o mótivo por demora das devolutivas",',2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
517cb679-b72d-4ed4-a886-1292fa08887c,,2º ciclo 2023,Em aberto,,,,,,,,,,,,,,2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
20d582f3-3520-4052-94b0-4fb45d25709a,,2º ciclo 2023,Finalizado,,,3,Foi suficiente ,4,3,,3,3,,Foi ok,Foi tranquilo,Acredito que foi uma avaliação relativamente completa,2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
17b26fee-5cbd-4066-84ed-f9cdef3eb147,,2º ciclo 2023,Em aberto,,,,,,,,,,,,,,2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
f3d2e8bf-d67d-45a5-845f-bac59b60c3cc,,2º ciclo 2023,Finalizado,,,4,Foi suficiente ,4,4,,5,4,,"Passar mais claresa dentro de cada pergunta do que espera como resposta (algo mais geral, mais voltado pra entregas, etc...)","Não sei se encaixa nessa categoria, mas o tempo que temos entre devolutiva e o proximo ciclo talvez seja curto para aplicarmos mudanças necessárias passadas como melhorias. Essas melhorias ao meu ver acabariam sendo mais perceptíveis um ciclo após, o que me deixa dúvidas de como isso seria visto no ciclo seguinte. Ex: esse ciclo foi referente ao segundo semestre de 2023 mas a devolutiva só chegou no meio do primeiro semestre de 2024, logo no inicio do ano não teve como aplicar melhorias passadas, então minha preocupação seria como foi visto esse inicio do semestre.","Ainda está um pouco confuso sobre o que é considerado ""acima do esperado""",2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
79dab082-ab29-4b50-95d7-c1385827ca4d,,2º ciclo 2023,Finalizado,,,4,Foi suficiente ,4,5,,5,4,,Maior alinhamento e explicação dos critérios avaliativos,"mais feedbacks construtivos (porém fui avaliada com 3 meses apenas, então não foi uma avaliação completa do ciclo)",nada a declarar,2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
666a8b42-e3b4-4176-a2d5-f5adcab59f9a,,2º ciclo 2023,Finalizado,,,4,"Foi mais que suficiente, muito longo",5,4,,4,3,,Tempo,Tempo,"Em relação as perguntas, nada a acrescentar",2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
599cfa90-082c-4f8b-8c91-916db0932da0,,2º ciclo 2023,Finalizado,,,3,Foi suficiente ,4,4,,4,4,,"Houve um questionamento sobre como metrificar o impacto, o que é impacto para a cubos. Minha liderança explicou bem na devolutiva, mas na hora da captura o texto não me ajudou tanto defender o motivo e mostrar o resultado.","Gostaria de ter as devolutivas por escrito, nem q seja em topicos, para servir como reforço ao longo do semestre seguinte. Lembrar os pontos bons e ruins, o que deve ser seguido e melhorado a todo dia me inspira a melhorar.",Não lembro das perguntas do  formulario com tanta precisão. Não tenho pontos a pontuar sobre isto.,2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
89487fb7-f991-4df0-aa07-63c5b5f8cf9e,,2º ciclo 2023,Finalizado,,,5,"Foi mais que suficiente, muito longo",5,4,,5,4,,ainda mais clareza para os envolvidos sobre o que é impacto ,acredito que deveria ser mais rápido o período de devolutivas ,acho que as perguntas estão coerentes ,2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
33652a30-e446-4105-a0d4-77e6ca06b725,,2º ciclo 2023,Em aberto,,,3,Não foi suficiente,2,3,,4,3,,,,,2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
c9a9ed76-e838-4bdd-8bd4-36290a5abe43,,2º ciclo 2023,Finalizado,,,4,Foi suficiente ,2,3,,4,2,,Sinto falta de um contexto melhor para balizar os feedbacks pois as questões são muito abrangentes e genéricas,senti falta de exemplos claros do dia a dia,.,2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
3c600f13-ed1a-4e32-98ad-70b9fe62e901,,2º ciclo 2023,Finalizado,,,5,"Foi mais que suficiente, muito longo",3,5,,4,3,,"Acho que falta mais informações quanto a nível técnico e de soft skills, para que na etapa de devolutiva, os feedbacks possam ser mais aprofundados.","Acho que falta alinhar mais as expectativas. Os feedbacks poderiam ser mais aprofundados. Por exemplo, venho recebendo feedbacks positivos desde os ciclos anteriores, não são mencionados pontos de melhorias. Fico sem saber o que falta para que eu possa evoluir na carreira. Qual a expectativa técnica no meu nível? O que falta para alcançar o próximo nível? Será que eu já não alcancei o próximo nível? Eu tenho uma sensação, os feedbacks recebidos só reforçam o que eu penso, mas no final sigo ""estagnado"". Peço por pontos que devo melhorar/aprimorar para que minha evolução aconteça e acabo não recebendo.","No momento gostei da abordagem. Pude conversar sobre as minhas expectativas, me senti confortável, e tudo que perguntei foi esclarecido.",2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
d8fcc57c-c14a-4b29-8598-3513057f62e9,,2º ciclo 2023,Em aberto,,,,,,,,,,,,,,2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
235beb89-7963-409b-b939-fb8ec596234f,,2º ciclo 2023,Finalizado,,,4,"Foi mais que suficiente, muito longo",4,5,,4,4,,"Ter mais informativos e descrições mais completas as perguntas, além de mais alinhamento do que se espera dos niveis.","Prazo, as devolutivas precisam acontecer em uma janela menor de tempo.",Nada,2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
dfda3dee-d1ea-466e-88cf-851991e82a6b,,2º ciclo 2023,Em aberto,,,,,,,,,,,,,,2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
bf8d3f55-e04e-4b32-9d2e-072f736e024b,,2º ciclo 2023,Finalizado,,,4,"Foi mais que suficiente, muito longo",5,5,,5,4,,-,"O prazo, tenho a sensação de que esse ano demorou muito entre minhas respostas e a devolutiva efetivamente",-,2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
8562666b-f1c3-4327-9429-7456e8e04834,,2º ciclo 2023,Finalizado,,,5,Foi suficiente ,5,4,,5,4,,"Nada, pois acho que correu tudo bem.",Senti falta de um feedback por escrito para ter a possibilidade de consulta aos pontos de melhoria.,Não senti falta de nenhuma pergunta.,2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
841cbd76-8fed-4e07-868c-6b7abfe93508,,2º ciclo 2023,Finalizado,,,5,Foi suficiente ,5,5,,5,4,,Sem sugestões,Sem sugestões,Sem sugestões,2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
5f6dbc6c-dff3-40ce-8a49-5d51717abdbc,,2º ciclo 2023,Em aberto,,,,,,,,,,,,,,2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
23097de9-9b8d-4452-a197-b1f9af82e90f,,2º ciclo 2023,Em aberto,,,,,,,,,,,,,,2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
621cfb08-36ca-4dea-a22e-010285e639e8,,2º ciclo 2023,Finalizado,,,3,Não foi suficiente,4,5,,5,3,,não senti falta,"Fiquei surpreso com a liderança que me deu o feedback, esperava que fosse outra pessoa",não sei,2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
f86adc0a-09ba-45b0-8a11-b4a758af28ea,,2º ciclo 2023,Finalizado,,,4,"Foi mais que suficiente, muito longo",3,3,,3,3,,"Acredito que mais na etapa de captura, especialmente quando se trabalha em outsourcing e difícil as vezes saber a rotina dos colegas",Eu acabei não recebendo meu feedback até o momento de responder este formulário,"Eu senti falta do feedback em si, de saber meu desempenho, onde posso melhor, como eu posso contribuir com a Cubos. As vezes fica bem nublado saber quais projetos há, como participar, quem são as pessoas.",2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
b9c856eb-f149-447e-8541-c5a94e48af31,,2º ciclo 2023,Finalizado,,,4,Foi suficiente ,5,4,,5,3,,Ser mais direto no que precisa ser avaliado. Tiveram várias capacitações e no final as perguntas ainda ficaram confusas.,Achei ok,"As perguntas estavam OK. Poderiam ser mais especificas, tinha algumas que pareciam meio repetidas.",2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
3b1d5416-25ed-4301-aff6-ba7662fefb1c,,2º ciclo 2023,Finalizado,,,3,Foi suficiente ,4,4,,5,4,,Apelo visual com exemplo," Acho que as devolutivas não deveriam ser dadas apenas pela liderança, talvez manter o modelo 1:1 com a liderança, mas também reunir o time.",Nada,2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
903171ca-5a89-4ad4-8748-32f0f5b4d0f6,,2º ciclo 2023,Finalizado,,,5,Foi suficiente ,5,4,,4,4,,"Cada etapa que passamos vai existir pontos de melhorias, mas comparado ao primeiro, achei esse super alinhado, não consigo pensar em grandes pontos de melhoria.",A etapa de devolutiva foi bem direta. apesar de ser copilado o feedback dos pares.. Acharia interessante um video dos pares falando pontos de melhoria. ,"senti falta de ser perguntado sobre oportunidades de desenvolvimento profissional. Compreender como posso melhorar minhas habilidades e crescer dentro da empresa é crucial para mim. Além disso, gostaria de discutir feedback específico sobre projetos recentes para entender melhor onde posso aprimorar meu desempenho e contribuir de forma mais eficaz para os objetivos da stack e da cubos como um todo.",2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
93714914-b8f9-4cf5-a757-e7f8a6620402,,2º ciclo 2023,Em aberto,,,,,,,,,,,,,,2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
38ffd183-1ee6-4da1-befe-9d31907b1702,,2º ciclo 2023,Finalizado,,,3,Foi suficiente ,3,4,,4,4,,Acho que podiamos ter talvez alguns exemplos de como responder.,"Acho que a devolutiva foi boa, mas talvez ter algo a mais que ainda não sei o que pode ser",Acho que só deixar as perguntas mais claras,2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
2e15df54-15ec-499c-ad54-a82aa4f27d13,,2º ciclo 2023,Finalizado,,,4,Não foi suficiente,3,3,,4,2,,"Desde o periodo de captura, até a entrega dos feedbacks leva muito tempo","Quem deve entregar o feedback, deve ser alguem que me acompanhou durante o ciclo",Dificl dizer,2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
56f35822-844f-4d5d-8bae-087a6096894f,,2º ciclo 2023,Finalizado,,,4,Foi suficiente ,4,4,,4,3,,"Frequencia, um semestre é um bom tempo pra acumular coisas pra se ter sobre o que falar, porém, também é mt tempo pra esquecer o que cada pessoa fez de significante",Nada,Nada,2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
4847b799-5deb-4857-ac54-aa85f60b85d7,,2º ciclo 2023,Em aberto,,,,,,,,,,,,,,2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
9cc18553-323c-4407-8fe6-3f7c9e76f1e8,,2º ciclo 2023,Finalizado,,,4,Foi suficiente ,4,4,,5,3,,"acho que faz sentido o preenchimento anonimo. acho delicado para quem tiver no outsorcing sozinho, caso ainda tenha alguém assim, porque a pessoa fica sem ter pra quem pedir pra avaliar, e é meio constrangedor isso","demorou muito de ter um retorno, acho que apesar de ser muito bom o lider de stack fazer a devolutiva, é muito estranho o feedback nao ser dado pela liderança de projeto que aquela pessoa estar, mas entendo que a depender do lider, a pessoa pode se sentir desconfortável e coagida no momento e até constrangida em responder","o que falta para conseguir evoluir para o próximo nível. acho que as avaliações estão ficando cada vez mais exigentes e cobrando mais das pessoas, mas não existe um retorno disso por parte da empresa financeiramente",2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
a183f3b5-e05b-436c-abb0-fb39a06f2eb6,,2º ciclo 2023,Em aberto,,,,,,,,,,,,,,2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
52784bb5-dbcc-4530-baa8-96011ac8afd9,,2º ciclo 2023,Finalizado,,,4,Foi suficiente ,4,5,,4,4,,Uma orientação mais detalhada sobre como as informações seriam coletadas e como eu poderia me preparar adequadamente para a avaliação.,"Na etapa de devolutivas, minha experiência foi positiva, não senti falta de nada em específico. Recebi um feedback claro e completo, que abordou de forma precisa os pontos de atenção e áreas de melhoria. Não houve surpresas em relação aos comentários feitos, o que facilitou meu entendimento.",Incluir perguntas sobre oportunidades de desenvolvimento profissional e crescimento na empresa.,2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
46e5522a-9f12-40d9-9b66-563691245293,,2º ciclo 2023,Finalizado,,,2,Foi suficiente ,5,5,,3,3,,não senti falta de nada no momento,"Uma reunião apenas com minha liderança tecnica é pouco para mim, tive o contato apenas com o lider de operações durante meu ciclo e fiz uma call de feedback apenas para entender se era aquilo mesmo que foi me passado.",não senti falta de nada no momento,2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
6a56046b-8410-49f1-b0d3-094499e4cf79,,2º ciclo 2023,Finalizado,,,3,Foi suficiente ,4,4,,5,4,,Acho que nada,Talvez citar quem a liderença conversou para poder tirar os feedbacks,Acho que nada,2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
09be08ec-7bd2-4f2b-b7b7-3b60648c6d23,,2º ciclo 2023,Em aberto,,,,,,,,,,,,,,2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
8eb9dab2-561f-4505-a152-1ad99419e6aa,,2º ciclo 2023,Finalizado,,,4,Foi suficiente ,4,2,,4,5,,Ter uma entrega mais rápida do feedback,Preciso ter mais atenção e melhorar na comunicação pelo Slack,"Senti falta de uma analise do semestre como todo, senti que a minha avaliação ficou fechada mais aos 2 ultimos meses do ano",2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
8660bb91-c767-4d2c-a6da-1b23d31d5204,,2º ciclo 2023,Finalizado,,,1,Foi suficiente ,4,4,,3,3,,nada,nada,nada,2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
222423db-4a16-4987-b638-4e8d0999f802,,2º ciclo 2023,Em aberto,,,,,,,,,,,,,,2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
a530fef6-6aa3-4b4b-8b75-f873523e5247,,2º ciclo 2023,Finalizado,,,5,Foi suficiente ,5,5,,5,5,,Talvez deixar mais claro que coisas fora do projeto também importam para a empresa,Talvez com dicas ou direcionamento de onde podemos treinar as melhorias,Sinto falta de uma coleta de autoavaliação com contexto de trocas fora do projeto,2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
b9121625-e3c4-4f2d-b74b-0277dd0efbca,,2º ciclo 2023,Finalizado,,,4,Foi suficiente ,4,4,,4,4,,alguns templates para ajuda,Fatos concretos em certos momentos,Foi claro a todo momento,2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
636bdd6b-f13d-4e64-8317-a593f6449284,,2º ciclo 2023,Finalizado,,,4,"Foi mais que suficiente, muito longo",5,4,,4,3,,Não senti falta.,O tempo para a devolutiva foi muito alto.,"Algumas perguntas eu simplesmente repetir as respostas da anterior. Não consigo identificar se foi o modo que a pergunta foi feita ou realmente ficou redundante. Também acho que responder por apenas uma ação que você fez que teve impacto não reflete muito a realidade, principalmente do backoffice, onde fazemos sempre pequenas coisas que na frente resultam em algo expressivo. ",2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
d33952e2-7f10-45b6-ad96-e4097feb4198,,2º ciclo 2023,Finalizado,,,4,Foi suficiente ,2,4,,4,2,,A coleta de mais informações influenciaria de maneira negativa no tempo das devolutivas. Nesse momento é melhor focarmos em uma maneira de acelerar as devolutivas.,Não ficou claro como os pontos de melhoria serão avaliados no futuro.,Seria importante alinhar se os pontos de melhoria apontados são para benefício do funcionário ou da empresa.,2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
63389fde-a89d-477f-8c0e-408f24f30ced,,2º ciclo 2023,Em aberto,,,,,,,,,,,,,,2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
b0006f6b-e245-453f-990a-6d3ce14e53fb,,2º ciclo 2023,Finalizado,,,4,"Foi mais que suficiente, muito longo",5,4,,5,4,,"Acho que vale diminuir um pouco o tempo de preenchimento para talvez 20 dias (etapa de captura), acredito ser suficiente","Eu honestamente não visualizei nada que faltou na minha devolutiva, foi bem clara.",Também não consigo enxergar na minha visão que teve algo que faltou dito ou que eu precisaria saber na avaliação de desempenho,2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
023a7dfb-6d64-4435-ad08-0b55aaca96ae,,2º ciclo 2023,Finalizado,,,5,Foi suficiente ,5,4,,5,4,,"A parte sobre ""impactos na Empresa"" acho o mais difícil de mensurar (para outros ou autoavaliação), pois muitas vezes não vemos o impacto direto das ações tão claramente, mas elas podem repercutir internamente, como recebi como feedback de acima do esperado, pois eu achava que eu não tinha impactado na Empresa como um todo. Talvez precisamos mudar a forma da pergunta. Pode gerar interpretação de ""impactar a empresa"" como algo muito maior do que é, como se tivesse que estar acima da expectativa, para poder impactar. Só que uma ação simples pode gerar impacto, e a pessoa ainda estar abaixo da espectativa de modo geral.",Não senti falta de nada na etapa de devolutiva.,"Eu gosto de um feedback mais abrangente, mas gostaria de ouvir mais apontamentos de melhorias de forma mais minunciosa (pois eu funciono também buscando reparar pequenos erros durante o projeto. E com um feedback mais generalista, principalmente com pessoas que dã opouco feedback durante as ocorrências, a gente acaba não mapeando os pontos. Mas acredito que no meu caso, as pessoas não falaram muito sobre esses pontos, nas avaliações, e por isso também não recebi de devolutiva. Pois sei também que não faz sentido avaliar um ciclo com base em detalhes pontuais, mas sim de forma geral mesmo. É só uma consideração mesmo.",2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
f5c6dd0b-c5dd-4085-bce6-9db0075360c9,,2º ciclo 2023,Em aberto,,,,,,,,,,,,,,2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
1306a1a5-2d25-4699-b4f5-7d1b869ce05b,,2º ciclo 2023,Finalizado,,,2,Foi suficiente ,4,4,,5,2,,Algumas perguntas pareciam questionar a mesma coisa e as repostas ficaram parecidas,Nada,Nada,2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
abc83801-69eb-42a8-b378-2853295c83bc,,2º ciclo 2023,Finalizado,,,2,Foi suficiente ,4,4,,5,5,,Conversando com outras pessoas sinto que meu entendimento sobre dentro e acima da expectativa é diferente de muitas pessoas. Muitas vezes fico na duvida se é normal isso acontecer. ,"Senti falta de mais pontos para melhorar, mas tive bastante pontos novos e desafios propostos para o próximo ciclo. ","Na verdade o mais difícil pra mim foi a autoavaliação, sinto que teria que ser um pouco diferente da avaliação de uma outra pessoa.",2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
6c4598d9-46f0-4cb5-a488-ed768246caa2,,,Em aberto,,,,,,,,,,,,,,2024-10-04,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
9ff59f68-0d81-48d0-84ee-5b330563c392,,,Em aberto,,,,,,,,,,,,,,2024-10-04,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
e2cc9b5e-be16-4674-9531-c3f4a659c4bb,,,Em aberto,,,,,,,,,,,,,,2024-10-04,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
9230538a-23cb-4135-9d2d-fd90601489ec,,,Em aberto,,,,,,,,,,,,,,2024-10-04,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
5fbcda95-2efe-4474-9e23-8d962301e3c3,,,Em aberto,,,,,,,,,,,,,,2024-10-04,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
38661c67-1bfd-4e6a-82ea-a45674971aa0,,,Em aberto,,,,,,,,,,,,,,2024-10-04,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
272da525-081d-4baf-a25e-efb6b283cc12,,,Em aberto,,,,,,,,,,,,,,2024-10-04,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
faa635a6-787c-4295-80dd-563009ae395b,,,Em aberto,,,,,,,,,,,,,,2024-10-04,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
d3f9431b-8dba-4823-9202-c83381761e9c,,,Em aberto,,,,,,,,,,,,,,2024-10-04,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
b5845d19-af81-4f58-90ae-e42005826e6a,,,Em aberto,,,,,,,,,,,,,,2024-10-04,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
1d88049e-6715-41db-bb30-d81bfdba4428,,,Em aberto,,,,,,,,,,,,,,2024-10-04,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
ae43b6f8-4bc0-4032-b2c3-1126ab4cef31,,,Em aberto,,,,,,,,,,,,,,2024-10-04,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
6e83d689-c75e-4fa1-9ec3-3fdbb7a759fe,,,Em aberto,,,,,,,,,,,,,,2024-10-04,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
